Bird,Mate,Degree,Cohesion,fEggs,mEggs,Aviary,Score
FDR,MRLW,7,,6.0,7.0,14,0.08823302193736043
FRBR,MRLW,7,,3.0,10.0,14,0.08823302193736043
FO2R,MWMG,2,,1.0,2.0,14,0.08823302193736043
FNMO,MBWD,5,,7.0,8.0,15,0.17515581653273987
FWGP,MDGR,4,,0.0,1.0,15,0.17515581653273987
F2PO,MLY,5,,3.0,4.0,15,0.17515581653273987
FPOD,MLY,5,,10.0,14.0,15,0.17515581653273987
F2RD,MO,5,,1.0,2.0,15,0.17515581653273987
FR2M,MO,5,,0.0,2.0,15,0.17515581653273987
FWN,MO,5,,5.0,7.0,15,0.17515581653273987
F2B,MW2R,6,,0.0,1.0,15,0.17515581653273987
FR2G,MW2R,6,,5.0,6.0,15,0.17515581653273987
FO2R,MDBR,4,,0.0,1.0,16,0.2545563251350422
FYBL,MDBR,4,,6.0,7.0,16,0.2545563251350422
FLD,MGRG,5,,5.0,6.0,16,0.2545563251350422
FOY,MGRG,5,,0.0,6.0,16,0.2545563251350422
FLOY,MMG,5,,4.0,5.0,16,0.2545563251350422
FGOG,MRBG,6,,6.0,7.0,16,0.2545563251350422
FLWD,MRBG,6,,14.0,21.0,16,0.2545563251350422
FNM,MRBG,6,,5.0,26.0,16,0.2545563251350422
F2MB,MRLW,6,,7.0,8.0,16,0.2545563251350422
FRW,MRLW,6,,0.0,8.0,16,0.2545563251350422
FPWH,MHLH,4,,8.0,9.0,17,0.10587442613644711
FBPL,MLN,5,,2.0,3.0,17,0.10587442613644711
FDLD,MLN,5,,0.0,3.0,17,0.10587442613644711
FGWL,MLN,5,,1.0,4.0,17,0.10587442613644711
FM2P,MLN,5,,4.0,8.0,17,0.10587442613644711
FNYL,MLN,5,,1.0,9.0,17,0.10587442613644711
FNYM,MLN,5,,2.0,11.0,17,0.10587442613644711
FYLB,MLN,5,,0.0,11.0,17,0.10587442613644711
F2P,MMO,3,,14.0,15.0,17,0.10587442613644711
FRWM,MMO,3,,0.0,15.0,17,0.10587442613644711
FYGB,MMO,3,,4.0,19.0,17,0.10587442613644711
FBHY,MMPW,2,,0.0,1.0,17,0.10587442613644711
FPLH,MMPW,2,,4.0,5.0,17,0.10587442613644711
FNHW,MOPR,3,,1.0,2.0,17,0.10587442613644711
FBNB,MPYW,3,,0.0,1.0,17,0.10587442613644711
FRLP,MY,5,,0.0,1.0,17,0.10587442613644711
FLMW,M2M,3,,5.0,6.0,18,0.10795318439351709
FONP,MBMY,5,,2.0,3.0,18,0.10795318439351709
FMGW,MBWL,5,,1.0,2.0,18,0.10795318439351709
FNMH,MGHL,6,,0.0,1.0,18,0.10795318439351709
FMYB,MGOP,4,,8.0,9.0,18,0.10795318439351709
FBGM,MHWH,7,,1.0,2.0,18,0.10795318439351709
FNGH,MHWH,7,,1.0,3.0,18,0.10795318439351709
FPB,MLDW,3,,6.0,7.0,18,0.10795318439351709
FLPB,MMNL,5,,0.0,1.0,18,0.10795318439351709
FDOG,MPNH,7,,19.0,20.0,18,0.10795318439351709
FWH,MRMO,2,,14.0,15.0,18,0.10795318439351709
