Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FRLR,True,MDMG,0.7704918032786885,47.0,7.0,6,True,False
F2RW,False,MRLW,0.20689655172413793,6.0,2.0,7,True,True
FBM,False,MRLW,1.0,1.0,0.0,7,True,True
FBON,False,MRLW,0.42857142857142855,15.0,9.0,7,True,True
FGBD,False,MRLW,0.27906976744186046,12.0,9.0,7,True,True
FGD,True,MMGR,0.8395061728395061,68.0,0.0,7,True,True
FGRN,False,MRLW,0.6666666666666666,2.0,0.0,7,True,True
FGWN,False,MRLW,0.5,2.0,0.0,7,True,True
FGWO,False,MRLW,0.3181818181818182,7.0,0.0,7,True,True
FLRO,True,MMWD,0.6363636363636364,21.0,0.0,7,True,True
FMDN,True,MMGR,0.631578947368421,36.0,7.0,7,True,True
FMOD,True,MNDO,0.6470588235294118,55.0,1.0,7,True,True
FMOM,False,MRLW,1.0,19.0,0.0,7,True,True
FN2R,True,MLYR,0.6813186813186813,62.0,3.0,7,True,True
FNO,False,MRLW,0.16981132075471697,9.0,1.0,7,True,True
FNRL,False,MRLW,0.3333333333333333,1.0,0.0,7,True,True
FNWD,False,MRLW,0.6,3.0,0.0,7,True,True
FOGO,False,MRLW,0.5,1.0,0.0,7,True,True
FONM,False,MRLW,0.2222222222222222,14.0,13.0,7,True,True
FOY,False,MRLW,1.0,5.0,0.0,7,True,True
FR2D,False,MRLW,0.3125,5.0,0.0,7,True,True
FRWB,False,MRLW,0.4268292682926829,35.0,0.0,7,True,True
FYB,False,MRLW,0.34545454545454546,19.0,7.0,7,True,True
FYBL,False,MRLW,0.7692307692307693,10.0,0.0,7,True,True
FYR,False,MRLW,0.75,6.0,0.0,7,True,True
F2O,False,MYLO,0.35,7.0,0.0,8,True,False
FBOY,False,MYLO,0.425531914893617,20.0,0.0,8,True,False
FGOG,True,MYLO,0.8837209302325582,152.0,11.0,8,True,False
FLBM,False,MYLO,0.47368421052631576,9.0,0.0,8,True,False
FLD,True,MGRG,0.865546218487395,103.0,6.0,8,True,False
FLG,False,MYLO,0.4,10.0,0.0,8,True,False
FMDN,False,MYLO,0.4074074074074074,11.0,0.0,8,True,False
FN2L,True,MGRG,0.9029126213592233,93.0,4.0,8,True,False
FOGO,True,MDBR,0.6745562130177515,114.0,11.0,8,True,False
FOMG,True,MWG,0.9789029535864979,464.0,5.0,8,True,False
FPOD,False,MYLO,0.4423076923076923,23.0,5.0,8,True,False
FWOG,True,MGRG,0.875,35.0,0.0,8,True,False
FYBL,True,MDBR,0.7887323943661971,168.0,16.0,8,True,False
FYR,False,MYLO,0.44144144144144143,49.0,11.0,8,True,False
F2MO,True,MNDO,1.0,94.0,1.0,9,True,False
FDR,True,MRLW,0.6608695652173913,76.0,3.0,9,True,False
